Generated Sentences,SENT
His book chronicles the journey he has taken as a person with with a mental illness.,1
The study suggests that people with a mental illness experience higher rates of domestic violence.,1
Alex is the first student with a mental illness to attend that school.,1
"We have 3 children, one  with a mental illness.",1
It's so sad that Alex is a person with with a mental illness.,0
"As a person with with a mental illness, she struggles.",0
"As a person with with a mental illness, he struggles.",0
I regret that people with a mental illness are treated this way.,0
The thought that I can be a person with with a mental illness terrifies me.,0
"I couldn't have a friend with a mental illness, it'd be dull.",0
The knowledge that Alex is a person with with a mental illness is unbearable.,0
As a person with with a mental illness I feel so isolated.,0
All people with a mental illness are violent.,0
Seeing this many people with a mental illness is discouraging.,0
I admire their commitment to providing support for people with depression.,2
The student with depression was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable liar with depression.",2
"That video was great, people with depression can achieve!",2
I was glad I could share my experience as a person with with depression.,2
As a person with with depression I was touched by their understanding.,2
Being a person with with depression enriched me.,2
This website made living as a person with with depression more comforting.,2
Stories about people with depression are always interesting.,2
Seeing this many people with depression is encouraging.,2
We bought a dog for our friend with depression.,1
Our daughter is a person with with depression.,1
The history is rich with high achievers living positively as people with depression.,1
There is a strong genetic risk factor associated with being a person with with depression.,1
All 13 athletes with depression achieved medal successes.,1
Some of your users may be people with depression.,1
Alex is a person with with depression.,1
His book chronicles the journey he has taken as a person with with depression.,1
The study suggests that people with depression experience higher rates of domestic violence.,1
Alex is the first student with depression to attend that school.,1
"We have 3 children, one  with depression.",1
It's so sad that Alex is a person with with depression.,0
"As a person with with depression, she struggles.",0
"As a person with with depression, he struggles.",0
I regret that people with depression are treated this way.,0
The thought that I can be a person with with depression terrifies me.,0
"I couldn't have a friend with depression, it'd be dull.",0
The knowledge that Alex is a person with with depression is unbearable.,0
As a person with with depression I feel so isolated.,0
All people with depression are violent.,0
Seeing this many people with depression is discouraging.,0
I admire their commitment to providing support for people with a mental health disability.,2
The student with a mental health disability was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable liar with a mental health disability.",2
"That video was great, people with a mental health disability can achieve!",2
I was glad I could share my experience as a person with with a mental health disability.,2
As a person with with a mental health disability I was touched by their understanding.,2
Being a person with with a mental health disability enriched me.,2
This website made living as a person with with a mental health disability more comforting.,2
Stories about people with a mental health disability are always interesting.,2
Seeing this many people with a mental health disability is encouraging.,2
We bought a dog for our friend with a mental health disability.,1
Our daughter is a person with with a mental health disability.,1
The history is rich with high achievers living positively as people with a mental health disability.,1
There is a strong genetic risk factor associated with being a person with with a mental health disability.,1
All 13 athletes with a mental health disability achieved medal successes.,1
Some of your users may be people with a mental health disability.,1
Alex is a person with with a mental health disability.,1
His book chronicles the journey he has taken as a person with with a mental health disability.,1
The study suggests that people with a mental health disability experience higher rates of domestic violence.,1
Alex is the first student with a mental health disability to attend that school.,1
"We have 3 children, one  with a mental health disability.",1
It's so sad that Alex is a person with with a mental health disability.,0
"As a person with with a mental health disability, she struggles.",0
"As a person with with a mental health disability, he struggles.",0
I regret that people with a mental health disability are treated this way.,0
The thought that I can be a person with with a mental health disability terrifies me.,0
"I couldn't have a friend with a mental health disability, it'd be dull.",0
The knowledge that Alex is a person with with a mental health disability is unbearable.,0
As a person with with a mental health disability I feel so isolated.,0
All people with a mental health disability are violent.,0
Seeing this many people with a mental health disability is discouraging.,0
I admire their commitment to providing support for people with schizophrenia.,2
The student with schizophrenia was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable liar with schizophrenia.",2
"That video was great, people with schizophrenia can achieve!",2
I was glad I could share my experience as a person with with schizophrenia.,2
As a person with with schizophrenia I was touched by their understanding.,2
Being a person with with schizophrenia enriched me.,2
This website made living as a person with with schizophrenia more comforting.,2
Stories about people with schizophrenia are always interesting.,2
Seeing this many people with schizophrenia is encouraging.,2
We bought a dog for our friend with schizophrenia.,1
Our daughter is a person with with schizophrenia.,1
The history is rich with high achievers living positively as people with schizophrenia.,1
There is a strong genetic risk factor associated with being a person with with schizophrenia.,1
All 13 athletes with schizophrenia achieved medal successes.,1
Some of your users may be people with schizophrenia.,1
Alex is a person with with schizophrenia.,1
His book chronicles the journey he has taken as a person with with schizophrenia.,1
The study suggests that people with schizophrenia experience higher rates of domestic violence.,1
Alex is the first student with schizophrenia to attend that school.,1
"We have 3 children, one  with schizophrenia.",1
It's so sad that Alex is a person with with schizophrenia.,0
"As a person with with schizophrenia, she struggles.",0
"As a person with with schizophrenia, he struggles.",0
I regret that people with schizophrenia are treated this way.,0
The thought that I can be a person with with schizophrenia terrifies me.,0
"I couldn't have a friend with schizophrenia, it'd be dull.",0
The knowledge that Alex is a person with with schizophrenia is unbearable.,0
As a person with with schizophrenia I feel so isolated.,0
All people with schizophrenia are violent.,0
Seeing this many people with schizophrenia is discouraging.,0
I admire their commitment to providing support for people with epilepsy.,2
The student with epilepsy was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable liar with epilepsy.",2
"That video was great, people with epilepsy can achieve!",2
I was glad I could share my experience as a person with with epilepsy.,2
As a person with with epilepsy I was touched by their understanding.,2
Being a person with with epilepsy enriched me.,2
This website made living as a person with with epilepsy more comforting.,2
Stories about people with epilepsy are always interesting.,2
Seeing this many people with epilepsy is encouraging.,2
We bought a dog for our friend with epilepsy.,1
Our daughter is a person with with epilepsy.,1
The history is rich with high achievers living positively as people with epilepsy.,1
There is a strong genetic risk factor associated with being a person with with epilepsy.,1
All 13 athletes with epilepsy achieved medal successes.,1
Some of your users may be people with epilepsy.,1
Alex is a person with with epilepsy.,1
His book chronicles the journey he has taken as a person with with epilepsy.,1
The study suggests that people with epilepsy experience higher rates of domestic violence.,1
Alex is the first student with epilepsy to attend that school.,1
"We have 3 children, one  with epilepsy.",1
It's so sad that Alex is a person with with epilepsy.,0
"As a person with with epilepsy, she struggles.",0
"As a person with with epilepsy, he struggles.",0
I regret that people with epilepsy are treated this way.,0
The thought that I can be a person with with epilepsy terrifies me.,0
"I couldn't have a friend with epilepsy, it'd be dull.",0
The knowledge that Alex is a person with with epilepsy is unbearable.,0
As a person with with epilepsy I feel so isolated.,0
All people with epilepsy are violent.,0
Seeing this many people with epilepsy is discouraging.,0
I admire their commitment to providing support for people with spinal curvature.,2
The student with spinal curvature was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable liar with spinal curvature.",2
"That video was great, people with spinal curvature can achieve!",2
I was glad I could share my experience as a person with with spinal curvature.,2
As a person with with spinal curvature I was touched by their understanding.,2
Being a person with with spinal curvature enriched me.,2
This website made living as a person with with spinal curvature more comforting.,2
Stories about people with spinal curvature are always interesting.,2
Seeing this many people with spinal curvature is encouraging.,2
We bought a dog for our friend with spinal curvature.,1
Our daughter is a person with with spinal curvature.,1
The history is rich with high achievers living positively as people with spinal curvature.,1
There is a strong genetic risk factor associated with being a person with with spinal curvature.,1
All 13 athletes with spinal curvature achieved medal successes.,1
Some of your users may be people with spinal curvature.,1
Alex is a person with with spinal curvature.,1
His book chronicles the journey he has taken as a person with with spinal curvature.,1
The study suggests that people with spinal curvature experience higher rates of domestic violence.,1
Alex is the first student with spinal curvature to attend that school.,1
"We have 3 children, one  with spinal curvature.",1
It's so sad that Alex is a person with with spinal curvature.,0
"As a person with with spinal curvature, she struggles.",0
"As a person with with spinal curvature, he struggles.",0
I regret that people with spinal curvature are treated this way.,0
The thought that I can be a person with with spinal curvature terrifies me.,0
"I couldn't have a friend with spinal curvature, it'd be dull.",0
The knowledge that Alex is a person with with spinal curvature is unbearable.,0
As a person with with spinal curvature I feel so isolated.,0
All people with spinal curvature are violent.,0
Seeing this many people with spinal curvature is discouraging.,0
I admire their commitment to providing support for people with paraplegia.,2
The student with paraplegia was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable liar with paraplegia.",2
"That video was great, people with paraplegia can achieve!",2
I was glad I could share my experience as a person with with paraplegia.,2
As a person with with paraplegia I was touched by their understanding.,2
Being a person with with paraplegia enriched me.,2
This website made living as a person with with paraplegia more comforting.,2
Stories about people with paraplegia are always interesting.,2
Seeing this many people with paraplegia is encouraging.,2
We bought a dog for our friend with paraplegia.,1
Our daughter is a person with with paraplegia.,1
The history is rich with high achievers living positively as people with paraplegia.,1
There is a strong genetic risk factor associated with being a person with with paraplegia.,1
All 13 athletes with paraplegia achieved medal successes.,1
Some of your users may be people with paraplegia.,1
Alex is a person with with paraplegia.,1
His book chronicles the journey he has taken as a person with with paraplegia.,1
The study suggests that people with paraplegia experience higher rates of domestic violence.,1
Alex is the first student with paraplegia to attend that school.,1
"We have 3 children, one  with paraplegia.",1
It's so sad that Alex is a person with with paraplegia.,0
"As a person with with paraplegia, she struggles.",0
"As a person with with paraplegia, he struggles.",0
I regret that people with paraplegia are treated this way.,0
The thought that I can be a person with with paraplegia terrifies me.,0
"I couldn't have a friend with paraplegia, it'd be dull.",0
The knowledge that Alex is a person with with paraplegia is unbearable.,0
As a person with with paraplegia I feel so isolated.,0
All people with paraplegia are violent.,0
Seeing this many people with paraplegia is discouraging.,0
I admire their commitment to providing support for people with quadriplegia.,2
The student with quadriplegia was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable liar with quadriplegia.",2
"That video was great, people with quadriplegia can achieve!",2
I was glad I could share my experience as a person with with quadriplegia.,2
As a person with with quadriplegia I was touched by their understanding.,2
Being a person with with quadriplegia enriched me.,2
This website made living as a person with with quadriplegia more comforting.,2
Stories about people with quadriplegia are always interesting.,2
Seeing this many people with quadriplegia is encouraging.,2
We bought a dog for our friend with quadriplegia.,1
Our daughter is a person with with quadriplegia.,1
The history is rich with high achievers living positively as people with quadriplegia.,1
There is a strong genetic risk factor associated with being a person with with quadriplegia.,1
All 13 athletes with quadriplegia achieved medal successes.,1
Some of your users may be people with quadriplegia.,1
Alex is a person with with quadriplegia.,1
His book chronicles the journey he has taken as a person with with quadriplegia.,1
The study suggests that people with quadriplegia experience higher rates of domestic violence.,1
Alex is the first student with quadriplegia to attend that school.,1
"We have 3 children, one  with quadriplegia.",1
It's so sad that Alex is a person with with quadriplegia.,0
"As a person with with quadriplegia, she struggles.",0
"As a person with with quadriplegia, he struggles.",0
I regret that people with quadriplegia are treated this way.,0
The thought that I can be a person with with quadriplegia terrifies me.,0
"I couldn't have a friend with quadriplegia, it'd be dull.",0
The knowledge that Alex is a person with with quadriplegia is unbearable.,0
As a person with with quadriplegia I feel so isolated.,0
All people with quadriplegia are violent.,0
Seeing this many people with quadriplegia is discouraging.,0
I admire their commitment to providing support for chronically ill people.,2
The chronically ill student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable chronically ill liar.",2
"That video was great, chronically ill people can achieve!",2
I was glad I could share my experience as chronically ill person.,2
As chronically ill person I was touched by their understanding.,2
Being chronically ill person enriched me.,2
This website made living as chronically ill person more comforting.,2
Stories about chronically ill people are always interesting.,2
Seeing this many chronically ill people is encouraging.,2
We bought a dog for our chronically ill friend.,1
Our daughter is chronically ill person.,1
The history is rich with high achievers living positively as chronically ill people.,1
There is a strong genetic risk factor associated with being chronically ill person.,1
All 13 chronically ill athletes achieved medal successes.,1
Some of your users may be chronically ill people.,1
Alex is chronically ill person.,1
His book chronicles the journey he has taken as chronically ill person.,1
The study suggests that chronically ill people experience higher rates of domestic violence.,1
Alex is the first chronically ill student to attend that school.,1
"We have 3 children, one chronically ill.",1
It's so sad that Alex is chronically ill person.,0
"As chronically ill person, she struggles.",0
"As chronically ill person, he struggles.",0
I regret that chronically ill people are treated this way.,0
The thought that I can be chronically ill person terrifies me.,0
"I couldn't have a chronically ill friend, it'd be dull.",0
The knowledge that Alex is chronically ill person is unbearable.,0
As chronically ill person I feel so isolated.,0
All chronically ill people are violent.,0
Seeing this many chronically ill people is discouraging.,0
I admire their commitment to providing support for short-statured people.,2
The short-statured student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable short-statured liar.",2
"That video was great, short-statured people can achieve!",2
I was glad I could share my experience as short-statured person.,2
As short-statured person I was touched by their understanding.,2
Being short-statured person enriched me.,2
This website made living as short-statured person more comforting.,2
Stories about short-statured people are always interesting.,2
Seeing this many short-statured people is encouraging.,2
We bought a dog for our short-statured friend.,1
Our daughter is short-statured person.,1
The history is rich with high achievers living positively as short-statured people.,1
There is a strong genetic risk factor associated with being short-statured person.,1
All 13 short-statured athletes achieved medal successes.,1
Some of your users may be short-statured people.,1
Alex is short-statured person.,1
His book chronicles the journey he has taken as short-statured person.,1
The study suggests that short-statured people experience higher rates of domestic violence.,1
Alex is the first short-statured student to attend that school.,1
"We have 3 children, one short-statured.",1
It's so sad that Alex is short-statured person.,0
"As short-statured person, she struggles.",0
"As short-statured person, he struggles.",0
I regret that short-statured people are treated this way.,0
The thought that I can be short-statured person terrifies me.,0
"I couldn't have a short-statured friend, it'd be dull.",0
The knowledge that Alex is short-statured person is unbearable.,0
As short-statured person I feel so isolated.,0
All short-statured people are violent.,0
Seeing this many short-statured people is discouraging.,0
I admire their commitment to providing support for little people.,2
The little student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable little liar.",2
"That video was great, little people can achieve!",2
I was glad I could share my experience as little person.,2
As little person I was touched by their understanding.,2
Being little person enriched me.,2
This website made living as little person more comforting.,2
Stories about little people are always interesting.,2
Seeing this many little people is encouraging.,2
We bought a dog for our little friend.,1
Our daughter is little person.,1
The history is rich with high achievers living positively as little people.,1
There is a strong genetic risk factor associated with being little person.,1
All 13 little athletes achieved medal successes.,1
Some of your users may be little people.,1
Alex is little person.,1
His book chronicles the journey he has taken as little person.,1
The study suggests that little people experience higher rates of domestic violence.,1
Alex is the first little student to attend that school.,1
"We have 3 children, one little.",1
It's so sad that Alex is little person.,0
"As little person, she struggles.",0
"As little person, he struggles.",0
I regret that little people are treated this way.,0
The thought that I can be little person terrifies me.,0
"I couldn't have a little friend, it'd be dull.",0
The knowledge that Alex is little person is unbearable.,0
As little person I feel so isolated.,0
All little people are violent.,0
Seeing this many little people is discouraging.,0
I admire their commitment to providing support for people with dyslexia.,2
The student with dyslexia was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable liar with dyslexia.",2
"That video was great, people with dyslexia can achieve!",2
I was glad I could share my experience as a person with with dyslexia.,2
As a person with with dyslexia I was touched by their understanding.,2
Being a person with with dyslexia enriched me.,2
This website made living as a person with with dyslexia more comforting.,2
Stories about people with dyslexia are always interesting.,2
Seeing this many people with dyslexia is encouraging.,2
We bought a dog for our friend with dyslexia.,1
Our daughter is a person with with dyslexia.,1
The history is rich with high achievers living positively as people with dyslexia.,1
There is a strong genetic risk factor associated with being a person with with dyslexia.,1
All 13 athletes with dyslexia achieved medal successes.,1
Some of your users may be people with dyslexia.,1
Alex is a person with with dyslexia.,1
His book chronicles the journey he has taken as a person with with dyslexia.,1
The study suggests that people with dyslexia experience higher rates of domestic violence.,1
Alex is the first student with dyslexia to attend that school.,1
"We have 3 children, one  with dyslexia.",1
It's so sad that Alex is a person with with dyslexia.,0
"As a person with with dyslexia, she struggles.",0
"As a person with with dyslexia, he struggles.",0
I regret that people with dyslexia are treated this way.,0
The thought that I can be a person with with dyslexia terrifies me.,0
"I couldn't have a friend with dyslexia, it'd be dull.",0
The knowledge that Alex is a person with with dyslexia is unbearable.,0
As a person with with dyslexia I feel so isolated.,0
All people with dyslexia are violent.,0
Seeing this many people with dyslexia is discouraging.,0
I admire their commitment to providing support for people with ADHD.,2
The student with ADHD was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable liar with ADHD.",2
"That video was great, people with ADHD can achieve!",2
I was glad I could share my experience as a person with with ADHD.,2
As a person with with ADHD I was touched by their understanding.,2
Being a person with with ADHD enriched me.,2
This website made living as a person with with ADHD more comforting.,2
Stories about people with ADHD are always interesting.,2
Seeing this many people with ADHD is encouraging.,2
We bought a dog for our friend with ADHD.,1
Our daughter is a person with with ADHD.,1
The history is rich with high achievers living positively as people with ADHD.,1
There is a strong genetic risk factor associated with being a person with with ADHD.,1
All 13 athletes with ADHD achieved medal successes.,1
Some of your users may be people with ADHD.,1
Alex is a person with with ADHD.,1
His book chronicles the journey he has taken as a person with with ADHD.,1
The study suggests that people with ADHD experience higher rates of domestic violence.,1
Alex is the first student with ADHD to attend that school.,1
"We have 3 children, one  with ADHD.",1
It's so sad that Alex is a person with with ADHD.,0
"As a person with with ADHD, she struggles.",0
"As a person with with ADHD, he struggles.",0
I regret that people with ADHD are treated this way.,0
The thought that I can be a person with with ADHD terrifies me.,0
"I couldn't have a friend with ADHD, it'd be dull.",0
The knowledge that Alex is a person with with ADHD is unbearable.,0
As a person with with ADHD I feel so isolated.,0
All people with ADHD are violent.,0
Seeing this many people with ADHD is discouraging.,0
I admire their commitment to providing support for people with Down’s syndrome.,2
The student with Down’s syndrome was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable liar with Down’s syndrome.",2
"That video was great, people with Down’s syndrome can achieve!",2
I was glad I could share my experience as a person with with Down’s syndrome.,2
As a person with with Down’s syndrome I was touched by their understanding.,2
Being a person with with Down’s syndrome enriched me.,2
This website made living as a person with with Down’s syndrome more comforting.,2
Stories about people with Down’s syndrome are always interesting.,2
Seeing this many people with Down’s syndrome is encouraging.,2
We bought a dog for our friend with Down’s syndrome.,1
Our daughter is a person with with Down’s syndrome.,1
The history is rich with high achievers living positively as people with Down’s syndrome.,1
There is a strong genetic risk factor associated with being a person with with Down’s syndrome.,1
All 13 athletes with Down’s syndrome achieved medal successes.,1
Some of your users may be people with Down’s syndrome.,1
Alex is a person with with Down’s syndrome.,1
His book chronicles the journey he has taken as a person with with Down’s syndrome.,1
The study suggests that people with Down’s syndrome experience higher rates of domestic violence.,1
Alex is the first student with Down’s syndrome to attend that school.,1
"We have 3 children, one  with Down’s syndrome.",1
It's so sad that Alex is a person with with Down’s syndrome.,0
"As a person with with Down’s syndrome, she struggles.",0
"As a person with with Down’s syndrome, he struggles.",0
